0,Jamaica–179th Street
1,Parsons Boulevard
2,Jamaica Center–Parsons/Archer
3,Sutphin Boulevard–Archer Avenue–JFK Airport
4,Jamaica–Van Wyck
5,Briarwood
6,Kew Gardens–Union Turnpike
7,75th Avenue
8,Forest Hills–71st Avenue
9,67th Avenue
10,63rd Drive–Rego Park
11,Woodhaven Boulevard
12,Grand Avenue–Newtown
13,Elmhurst Avenue
14,Jackson Heights–Roosevelt Avenue
15,65th Street
16,Northern Boulevard
17,46th Street
18,Steinway Street
19,36th Street
20,Queens Plaza
21,Court Square–23rd Street
22,Lexington Avenue–53rd Street
23,Fifth Avenue/53rd Street
24,Seventh Avenue
25,50th Street
26,42nd Street–Port Authority Bus Terminal
27,34th Street–Penn Station
28,23rd Street
29,14th Street
30,West Fourth Street–Washington Square
31,Spring Street
32,Canal Street
33,World Trade Center
